Kod;Województwo;Powiat;Gmina;Komentarz
32-120;ma³opolskie;proszowicki;Nowe Brzesko;
32-125;ma³opolskie;krakowski;Igo³omia-Wawrzeñczyce;
32-130;ma³opolskie;proszowicki;Koszyce;
32-200;ma³opolskie;miechowski;Miechów;
32-210;ma³opolskie;miechowski;Ksi¹¿ Wielki;
32-218;ma³opolskie;miechowski;S³aboszów;
32-222;ma³opolskie;miechowski;Rac³awice;
32-241;ma³opolskie;miechowski;Koz³ów;
32-250;ma³opolskie;miechowski;Charsznica;
32-300;ma³opolskie;olkuski;Olkusz;
32-310;ma³opolskie;olkuski;Klucze;
32-327;ma³opolskie;olkuski;Olkusz;
32-329;ma³opolskie;olkuski;Boles³aw;
32-332;ma³opolskie;olkuski;Bukowno;
32-340;ma³opolskie;olkuski;Wolbrom;
32-353;ma³opolskie;olkuski;Trzyci¹¿;
32-400;ma³opolskie;myœlenicki;Myœlenice;
32-406;ma³opolskie;myœlenicki;Siepraw;
32-410;ma³opolskie;myœlenicki;Dobczyce;
32-412;ma³opolskie;myœlenicki;Wiœniowa;
32-414;ma³opolskie;myœlenicki;Raciechowice;
32-415;ma³opolskie;myœlenicki;Raciechowice;
32-420;ma³opolskie;wielicki;Gdów;
32-425;ma³opolskie;myœlenicki;Myœlenice;
32-431;ma³opolskie;myœlenicki;Pcim;
32-432;ma³opolskie;myœlenicki;Pcim;
32-433;ma³opolskie;myœlenicki;Lubieñ;
32-434;ma³opolskie;myœlenicki;Lubieñ;
32-435;ma³opolskie;myœlenicki;Tokarnia;
32-436;ma³opolskie;myœlenicki;Tokarnia;
32-437;ma³opolskie;myœlenicki;Tokarnia;
32-438;ma³opolskie;myœlenicki;Pcim;
32-440;ma³opolskie;myœlenicki;Su³kowice;
32-442;ma³opolskie;myœlenicki;Su³kowice;
32-444;ma³opolskie;myœlenicki;Myœlenice;
32-445;ma³opolskie;myœlenicki;Myœlenice;
32-447;ma³opolskie;myœlenicki;Siepraw;
32-500;ma³opolskie;chrzanowski;Chrzanów;
32-540;ma³opolskie;chrzanowski;Trzebinia;
32-543;ma³opolskie;chrzanowski;Trzebinia;
32-545;ma³opolskie;chrzanowski;Trzebinia;
32-551;ma³opolskie;chrzanowski;Babice;
32-552;ma³opolskie;chrzanowski;Chrzanów;
32-555;ma³opolskie;chrzanowski;Babice;
32-566;ma³opolskie;chrzanowski;Alwernia;
32-590;ma³opolskie;chrzanowski;Libi¹¿;
32-593;ma³opolskie;chrzanowski;Libi¹¿;
32-600;ma³opolskie;oœwiêcimski;Oœwiêcim;
32-607;ma³opolskie;oœwiêcimski;Polanka Wielka;
32-608;ma³opolskie;oœwiêcimski;Osiek;
32-615;ma³opolskie;oœwiêcimski;Oœwiêcim;
32-620;ma³opolskie;oœwiêcimski;Brzeszcze;
32-625;ma³opolskie;oœwiêcimski;Brzeszcze;
32-626;ma³opolskie;oœwiêcimski;Brzeszcze;
32-640;ma³opolskie;oœwiêcimski;Zator;
32-641;ma³opolskie;oœwiêcimski;Przeciszów;
32-642;ma³opolskie;oœwiêcimski;Oœwiêcim;
32-650;ma³opolskie;oœwiêcimski;Kêty;
32-651;ma³opolskie;oœwiêcimski;Kêty;
32-652;ma³opolskie;oœwiêcimski;Kêty;
32-660;ma³opolskie;oœwiêcimski;Che³mek;
32-661;ma³opolskie;oœwiêcimski;Che³mek;
32-700;ma³opolskie;bocheñski;Bochnia;
32-708;ma³opolskie;bocheñski;Drwinia;
32-709;ma³opolskie;bocheñski;Drwinia;
32-711;ma³opolskie;bocheñski;Bochnia;
32-712;ma³opolskie;bocheñski;Rzezawa;
32-720;ma³opolskie;bocheñski;Nowy Wiœnicz;
32-722;ma³opolskie;bocheñski;Nowy Wiœnicz;
32-724;ma³opolskie;bocheñski;Lipnica Murowana;
32-725;ma³opolskie;bocheñski;Lipnica Murowana;
32-731;ma³opolskie;bocheñski;¯egocina;
32-732;ma³opolskie;bocheñski;Trzciana;
32-733;ma³opolskie;bocheñski;Trzciana;
32-740;ma³opolskie;bocheñski;£apanów;
32-741;ma³opolskie;bocheñski;£apanów;
32-742;ma³opolskie;bocheñski;Bochnia;
32-744;ma³opolskie;bocheñski;Bochnia;
32-765;ma³opolskie;bocheñski;Rzezawa;
32-800;ma³opolskie;brzeski;Brzesko;
32-813;ma³opolskie;brzeski;Szczurowa;
32-820;ma³opolskie;brzeski;Szczurowa;
32-821;ma³opolskie;brzeski;Szczurowa;
32-822;ma³opolskie;brzeski;Szczurowa;
32-823;ma³opolskie;brzeski;Brzesko;
32-824;ma³opolskie;brzeski;Borzêcin;
32-825;ma³opolskie;brzeski;Borzêcin;
32-828;ma³opolskie;brzeski;Dêbno;
32-830;ma³opolskie;tarnowski;Wojnicz;
32-831;ma³opolskie;tarnowski;Wojnicz;
32-840;ma³opolskie;tarnowski;Zakliczyn;
32-841;ma³opolskie;tarnowski;Zakliczyn;
32-842;ma³opolskie;tarnowski;Zakliczyn;
32-851;ma³opolskie;brzeski;Brzesko;
32-852;ma³opolskie;brzeski;Dêbno;
32-853;ma³opolskie;brzeski;Dêbno;
32-854;ma³opolskie;brzeski;Dêbno;
32-855;ma³opolskie;tarnowski;Zakliczyn;
32-859;ma³opolskie;brzeski;Czchów;
32-860;ma³opolskie;brzeski;Czchów;
32-861;ma³opolskie;brzeski;Iwkowa;
32-862;ma³opolskie;brzeski;Iwkowa;
32-863;ma³opolskie;brzeski;Czchów;
32-864;ma³opolskie;brzeski;Gnojnik;
32-865;ma³opolskie;brzeski;Gnojnik;
33-100;ma³opolskie;Tarnów;Tarnów;
33-111;ma³opolskie;tarnowski;Tarnów;
33-112;ma³opolskie;tarnowski;Tarnów;
33-113;ma³opolskie;tarnowski;Tarnów;
33-114;ma³opolskie;tarnowski;Pleœna;
33-115;ma³opolskie;tarnowski;Pleœna;
33-121;ma³opolskie;tarnowski;Wierzchos³awice;
33-122;ma³opolskie;tarnowski;Wierzchos³awice;
33-130;ma³opolskie;tarnowski;Rad³ów;
33-131;ma³opolskie;tarnowski;¯abno;
33-132;ma³opolskie;tarnowski;¯abno;
33-133;ma³opolskie;tarnowski;Rad³ów;
33-140;ma³opolskie;tarnowski;Lisia Góra;
33-150;ma³opolskie;tarnowski;Tarnów;
33-151;ma³opolskie;tarnowski;Lisia Góra;
33-152;ma³opolskie;tarnowski;Skrzyszów;
33-156;ma³opolskie;tarnowski;Skrzyszów;
33-157;ma³opolskie;tarnowski;Skrzyszów;
33-158;ma³opolskie;tarnowski;Skrzyszów;
33-159;ma³opolskie;tarnowski;Ryglice;
33-160;ma³opolskie;tarnowski;Ryglice;
33-161;ma³opolskie;tarnowski;Ryglice;
33-162;ma³opolskie;tarnowski;Ryglice;
33-163;ma³opolskie;tarnowski;Rzepiennik Strzy¿ewski;
33-164;ma³opolskie;tarnowski;Rzepiennik Strzy¿ewski;
33-167;ma³opolskie;tarnowski;Rzepiennik Strzy¿ewski;
33-170;ma³opolskie;tarnowski;Tuchów;
33-171;ma³opolskie;tarnowski;Pleœna;
33-172;ma³opolskie;tarnowski;Tuchów;
33-173;ma³opolskie;tarnowski;Tuchów;
33-180;ma³opolskie;tarnowski;Gromnik;
33-181;ma³opolskie;tarnowski;Gromnik;
33-182;ma³opolskie;tarnowski;Gromnik;
33-190;ma³opolskie;tarnowski;Ciê¿kowice;
33-191;ma³opolskie;tarnowski;Ciê¿kowice;
33-192;ma³opolskie;tarnowski;Ciê¿kowice;
33-200;ma³opolskie;d¹browski;D¹browa Tarnowska;
33-202;ma³opolskie;d¹browski;D¹browa Tarnowska;
33-203;ma³opolskie;d¹browski;Szczucin;
33-204;ma³opolskie;d¹browski;Szczucin;
33-205;ma³opolskie;d¹browski;D¹browa Tarnowska;
33-206;ma³opolskie;d¹browski;Radgoszcz;
33-207;ma³opolskie;d¹browski;Radgoszcz;
33-210;ma³opolskie;d¹browski;Olesno;
33-220;ma³opolskie;d¹browski;Boles³aw;
33-221;ma³opolskie;d¹browski;Mêdrzechów;
33-230;ma³opolskie;d¹browski;Szczucin;
33-240;ma³opolskie;tarnowski;¯abno;
33-250;ma³opolskie;tarnowski;¯abno;
33-251;ma³opolskie;tarnowski;¯abno;
33-260;ma³opolskie;d¹browski;Grêboszów;
33-262;ma³opolskie;d¹browski;Grêboszów;
33-263;ma³opolskie;d¹browski;Olesno;
33-264;ma³opolskie;d¹browski;Olesno;
33-270;ma³opolskie;tarnowski;Wietrzychowice;
33-271;ma³opolskie;tarnowski;Wietrzychowice;
33-273;ma³opolskie;tarnowski;Rad³ów;
33-300;ma³opolskie;nowos¹decki;Che³miec;
33-311;ma³opolskie;nowos¹decki;Che³miec;
33-312;ma³opolskie;nowos¹decki;£ososina Dolna;
33-314;ma³opolskie;nowos¹decki;£ososina Dolna;
33-316;ma³opolskie;nowos¹decki;Gródek nad Dunajcem;
33-318;ma³opolskie;nowos¹decki;Gródek nad Dunajcem;
33-322;ma³opolskie;nowos¹decki;Korzenna;
33-323;ma³opolskie;nowos¹decki;Korzenna;
33-325;ma³opolskie;nowos¹decki;Grybów;
33-326;ma³opolskie;nowos¹decki;Korzenna;
33-330;ma³opolskie;nowos¹decki;Grybów;
33-331;ma³opolskie;nowos¹decki;Grybów;
33-332;ma³opolskie;nowos¹decki;Grybów;
33-333;ma³opolskie;nowos¹decki;Grybów;
33-334;ma³opolskie;nowos¹decki;Kamionka Wielka;
33-335;ma³opolskie;nowos¹decki;Nawojowa;
33-336;ma³opolskie;nowos¹decki;£abowa;
33-340;ma³opolskie;nowos¹decki;Stary S¹cz;
33-342;ma³opolskie;nowos¹decki;Stary S¹cz;
33-343;ma³opolskie;nowos¹decki;Rytro;
33-350;ma³opolskie;nowos¹decki;Piwniczna-Zdrój;
33-351;ma³opolskie;nowos¹decki;Piwniczna-Zdrój;
33-370;ma³opolskie;nowos¹decki;Muszyna;
33-380;ma³opolskie;nowos¹decki;Krynica-Zdrój;
33-383;ma³opolskie;nowos¹decki;Krynica-Zdrój;
33-386;ma³opolskie;nowos¹decki;Podegrodzie;
33-388;ma³opolskie;nowos¹decki;Stary S¹cz;
33-389;ma³opolskie;nowos¹decki;£¹cko;
33-390;ma³opolskie;nowos¹decki;£¹cko;
33-393;ma³opolskie;nowos¹decki;Che³miec;
33-394;ma³opolskie;nowos¹decki;Che³miec;
33-395;ma³opolskie;nowos¹decki;Che³miec;
34-100;ma³opolskie;wadowicki;Wadowice;
34-103;ma³opolskie;wadowicki;Tomice;
34-105;ma³opolskie;wadowicki;Wadowice;
34-106;ma³opolskie;wadowicki;Mucharz;
34-108;ma³opolskie;wadowicki;Wieprz;
34-113;ma³opolskie;wadowicki;BrzeŸnica;
34-114;ma³opolskie;wadowicki;BrzeŸnica;
34-115;ma³opolskie;wadowicki;BrzeŸnica;
34-116;ma³opolskie;wadowicki;Spytkowice;
34-120;ma³opolskie;wadowicki;Andrychów;
34-122;ma³opolskie;wadowicki;Wieprz;
34-123;ma³opolskie;wadowicki;Wadowice;
34-124;ma³opolskie;wadowicki;Stryszów;
34-125;ma³opolskie;wadowicki;Andrychów;
34-130;ma³opolskie;wadowicki;Kalwaria Zebrzydowska;
34-141;ma³opolskie;wadowicki;Kalwaria Zebrzydowska;
34-142;ma³opolskie;wadowicki;Kalwaria Zebrzydowska;
34-143;ma³opolskie;wadowicki;Lanckorona;
34-144;ma³opolskie;wadowicki;Lanckorona;
34-145;ma³opolskie;wadowicki;Stryszów;
34-146;ma³opolskie;wadowicki;Stryszów;
34-200;ma³opolskie;suski;Sucha Beskidzka;
34-205;ma³opolskie;suski;Stryszawa;
34-206;ma³opolskie;suski;Stryszawa;
34-210;ma³opolskie;suski;Zembrzyce;
34-211;ma³opolskie;suski;Budzów;
34-212;ma³opolskie;suski;Budzów;
34-220;ma³opolskie;suski;Maków Podhalañski;
34-221;ma³opolskie;suski;Zawoja;
34-222;ma³opolskie;suski;Zawoja;
34-231;ma³opolskie;suski;Maków Podhalañski;
34-232;ma³opolskie;suski;Stryszawa;
34-233;ma³opolskie;suski;Stryszawa;
34-234;ma³opolskie;suski;Jordanów;
34-235;ma³opolskie;suski;Bystra-Sidzina;
34-236;ma³opolskie;suski;Bystra-Sidzina;
34-240;ma³opolskie;suski;Jordanów;
34-242;ma³opolskie;suski;Jordanów;
34-300;œl¹skie;¿ywiecki;¯ywiec;
34-311;œl¹skie;¿ywiecki;Czernichów;
34-312;œl¹skie;¿ywiecki;Czernichów;
34-315;œl¹skie;¿ywiecki;Czernichów;
34-321;œl¹skie;¿ywiecki;£êkawica;
34-322;œl¹skie;¿ywiecki;Gilowice;
34-323;œl¹skie;¿ywiecki;Œlemieñ;
34-324;œl¹skie;¿ywiecki;Lipowa;
34-325;œl¹skie;¿ywiecki;£odygowice;
34-326;œl¹skie;¿ywiecki;£odygowice;
34-331;œl¹skie;¿ywiecki;Œwinna;
34-332;œl¹skie;¿ywiecki;Koszarawa;
34-335;œl¹skie;¿ywiecki;Jeleœnia;
34-340;œl¹skie;¿ywiecki;Jeleœnia;
34-341;œl¹skie;¿ywiecki;Jeleœnia;
34-350;œl¹skie;¿ywiecki;Wêgierska Górka;
34-360;œl¹skie;¿ywiecki;Milówka;
34-370;œl¹skie;¿ywiecki;Rajcza;
34-371;œl¹skie;¿ywiecki;Ujso³y;
34-373;œl¹skie;¿ywiecki;Milówka;
34-381;œl¹skie;¿ywiecki;Radziechowy-Wieprz;
34-382;œl¹skie;¿ywiecki;Radziechowy-Wieprz;
34-383;œl¹skie;¿ywiecki;Milówka;
34-400;ma³opolskie;nowotarski;Nowy Targ;
34-404;ma³opolskie;nowotarski;Nowy Targ;
34-405;ma³opolskie;tatrzañski;Bukowina Tatrzañska;
34-406;ma³opolskie;tatrzañski;Bukowina Tatrzañska;
34-407;ma³opolskie;nowotarski;Czarny Dunajec;
34-408;ma³opolskie;nowotarski;Czarny Dunajec;
34-424;ma³opolskie;nowotarski;Szaflary;
34-425;ma³opolskie;tatrzañski;Bia³y Dunajec;
34-431;ma³opolskie;nowotarski;Nowy Targ;
34-432;ma³opolskie;nowotarski;Nowy Targ;
34-433;ma³opolskie;nowotarski;Nowy Targ;
34-434;ma³opolskie;nowotarski;Nowy Targ;
34-435;ma³opolskie;nowotarski;£apsze Ni¿ne;
34-436;ma³opolskie;nowotarski;Czorsztyn;
34-440;ma³opolskie;nowotarski;Czorsztyn;
34-441;ma³opolskie;nowotarski;£apsze Ni¿ne;
34-442;ma³opolskie;nowotarski;£apsze Ni¿ne;
34-443;ma³opolskie;nowotarski;Czorsztyn;
34-450;ma³opolskie;nowotarski;Kroœcienko nad Dunajcem;
34-451;ma³opolskie;nowotarski;Ochotnica Dolna;
34-452;ma³opolskie;nowotarski;Ochotnica Dolna;
34-453;ma³opolskie;nowotarski;Ochotnica Dolna;
34-460;ma³opolskie;nowotarski;Szczawnica;
34-470;ma³opolskie;nowotarski;Czarny Dunajec;
34-471;ma³opolskie;nowotarski;Nowy Targ;
34-472;ma³opolskie;nowotarski;Czarny Dunajec;
34-480;ma³opolskie;nowotarski;Jab³onka;
34-481;ma³opolskie;nowotarski;Jab³onka;
34-482;ma³opolskie;nowotarski;Jab³onka;
34-483;ma³opolskie;nowotarski;Lipnica Wielka;
34-484;ma³opolskie;nowotarski;Jab³onka;
34-500;ma³opolskie;tatrzañski;Zakopane;
34-511;ma³opolskie;tatrzañski;Koœcielisko;
34-512;ma³opolskie;tatrzañski;Koœcielisko;
34-513;ma³opolskie;nowotarski;Czarny Dunajec;
34-514;ma³opolskie;tatrzañski;Koœcielisko;
34-520;ma³opolskie;tatrzañski;Poronin;
34-521;ma³opolskie;tatrzañski;Poronin;
34-530;ma³opolskie;tatrzañski;Bukowina Tatrzañska;
34-531;ma³opolskie;tatrzañski;Poronin;
34-532;ma³opolskie;tatrzañski;Bukowina Tatrzañska;
34-600;ma³opolskie;limanowski;Limanowa;
34-602;ma³opolskie;limanowski;Laskowa;
34-603;ma³opolskie;limanowski;Laskowa;
34-604;ma³opolskie;limanowski;£ukowica;
34-606;ma³opolskie;limanowski;£ukowica;
34-607;ma³opolskie;limanowski;Kamienica;
34-608;ma³opolskie;limanowski;Kamienica;
34-615;ma³opolskie;limanowski;S³opnice;
34-617;ma³opolskie;limanowski;Jod³ownik;
34-620;ma³opolskie;limanowski;Jod³ownik;
34-623;ma³opolskie;limanowski;Jod³ownik;
34-625;ma³opolskie;limanowski;Dobra;
34-642;ma³opolskie;limanowski;Dobra;
34-643;ma³opolskie;limanowski;Dobra;
34-650;ma³opolskie;limanowski;Tymbark;
34-652;ma³opolskie;limanowski;Limanowa;
34-654;ma³opolskie;limanowski;Limanowa;
34-700;ma³opolskie;nowotarski;Rabka-Zdrój;
34-713;ma³opolskie;nowotarski;Raba Wy¿na;
34-720;ma³opolskie;nowotarski;Rabka-Zdrój;
34-721;ma³opolskie;nowotarski;Raba Wy¿na;
34-722;ma³opolskie;nowotarski;Jab³onka;
34-723;ma³opolskie;nowotarski;Raba Wy¿na;
34-730;ma³opolskie;limanowski;Mszana Dolna;
34-733;ma³opolskie;limanowski;Mszana Dolna;
34-734;ma³opolskie;limanowski;Mszana Dolna;
34-735;ma³opolskie;limanowski;NiedŸwiedŸ;
34-736;ma³opolskie;limanowski;Mszana Dolna;
34-741;ma³opolskie;limanowski;Mszana Dolna;
34-745;ma³opolskie;nowotarski;Spytkowice;
35-001;podkarpackie;Rzeszów;Rzeszów;ca³e miasto jako 1 kszta³t
35-106;podkarpackie;rzeszowski;Boguchwa³a;
36-001;podkarpackie;rzeszowski;Trzebownisko;
36-002;podkarpackie;rzeszowski;Trzebownisko;
36-003;podkarpackie;rzeszowski;G³ogów Ma³opolski;
36-004;podkarpackie;rzeszowski;Trzebownisko;
36-007;podkarpackie;rzeszowski;Krasne;
36-016;podkarpackie;rzeszowski;Chmielnik;
36-017;podkarpackie;rzeszowski;Chmielnik;
36-020;podkarpackie;rzeszowski;Tyczyn;
36-024;podkarpackie;rzeszowski;Hy¿ne;
36-025;podkarpackie;rzeszowski;Hy¿ne;
36-030;podkarpackie;rzeszowski;B³a¿owa;
36-040;podkarpackie;rzeszowski;Boguchwa³a;
36-041;podkarpackie;rzeszowski;Boguchwa³a;
36-042;podkarpackie;rzeszowski;Lubenia;
36-043;podkarpackie;rzeszowski;Lubenia;
36-046;podkarpackie;rzeszowski;Boguchwa³a;
36-047;podkarpackie;rzeszowski;Boguchwa³a;
36-050;podkarpackie;rzeszowski;Soko³ów Ma³opolski;
36-051;podkarpackie;rzeszowski;Soko³ów Ma³opolski;
36-052;podkarpackie;rzeszowski;Soko³ów Ma³opolski;
36-053;podkarpackie;rzeszowski;Kamieñ;
36-054;podkarpackie;rzeszowski;Œwilcza;
36-055;podkarpackie;rzeszowski;Œwilcza;
36-060;podkarpackie;rzeszowski;G³ogów Ma³opolski;
36-061;podkarpackie;rzeszowski;G³ogów Ma³opolski;
36-062;podkarpackie;rzeszowski;Trzebownisko;
36-065;podkarpackie;rzeszowski;Dynów;
36-067;podkarpackie;rzeszowski;Dynów;
36-068;podkarpackie;rzeszowski;Dynów;
36-069;podkarpackie;rzeszowski;Dynów;
36-071;podkarpackie;rzeszowski;Œwilcza;
36-072;podkarpackie;rzeszowski;Œwilcza;
36-073;podkarpackie;rzeszowski;Krasne;
36-100;podkarpackie;kolbuszowski;Kolbuszowa;
36-105;podkarpackie;kolbuszowski;Cmolas;
36-106;podkarpackie;kolbuszowski;Cmolas;
36-107;podkarpackie;kolbuszowski;Niwiska;
36-110;podkarpackie;kolbuszowski;Majdan Królewski;
36-121;podkarpackie;kolbuszowski;Dzikowiec;
36-122;podkarpackie;kolbuszowski;Dzikowiec;
36-123;podkarpackie;kolbuszowski;Dzikowiec;
36-125;podkarpackie;kolbuszowski;Rani¿ów;
36-130;podkarpackie;kolbuszowski;Rani¿ów;
36-145;podkarpackie;kolbuszowski;Kolbuszowa;
36-147;podkarpackie;kolbuszowski;Niwiska;
36-200;podkarpackie;brzozowski;Brzozów;
36-203;podkarpackie;brzozowski;Nozdrzec;
36-204;podkarpackie;brzozowski;Dydnia;
36-206;podkarpackie;brzozowski;Brzozów;
36-207;podkarpackie;brzozowski;Dydnia;
36-211;podkarpackie;brzozowski;Haczów;
36-212;podkarpackie;brzozowski;Haczów;
36-213;podkarpackie;brzozowski;Haczów;
36-220;podkarpackie;brzozowski;Jasienica Rosielna;
36-221;podkarpackie;brzozowski;Jasienica Rosielna;
36-230;podkarpackie;brzozowski;Domaradz;
36-231;podkarpackie;brzozowski;Domaradz;
36-233;podkarpackie;brzozowski;Domaradz;
36-245;podkarpackie;brzozowski;Nozdrzec;
37-100;podkarpackie;³añcucki;£añcut;
37-110;podkarpackie;³añcucki;¯o³ynia;
37-111;podkarpackie;³añcucki;Rakszawa;
37-112;podkarpackie;³añcucki;£añcut;
37-114;podkarpackie;³añcucki;Bia³obrzegi;
37-120;podkarpackie;³añcucki;Markowa;
37-121;podkarpackie;³añcucki;Markowa;
37-122;podkarpackie;³añcucki;£añcut;
37-123;podkarpackie;³añcucki;£añcut;
37-124;podkarpackie;³añcucki;£añcut;
37-125;podkarpackie;³añcucki;Czarna;
37-126;podkarpackie;³añcucki;Czarna;
37-200;podkarpackie;przeworski;Przeworsk;
37-203;podkarpackie;przeworski;Tryñcza;
37-204;podkarpackie;przeworski;Tryñcza;
37-205;podkarpackie;przeworski;Zarzecze;
37-206;podkarpackie;przeworski;Kañczuga;
37-207;podkarpackie;przeworski;Gaæ;
37-220;podkarpackie;przeworski;Kañczuga;
37-222;podkarpackie;przeworski;Kañczuga;
37-223;podkarpackie;przeworski;Kañczuga;
37-224;podkarpackie;przeworski;Kañczuga;
37-225;podkarpackie;przeworski;Kañczuga;
37-230;podkarpackie;przeworski;Jawornik Polski;
37-231;podkarpackie;przeworski;Jawornik Polski;
37-232;podkarpackie;przeworski;Jawornik Polski;
37-300;podkarpackie;le¿ajski;Le¿ajsk;
37-303;podkarpackie;le¿ajski;Kury³ówka;
37-304;podkarpackie;le¿ajski;Kury³ówka;
37-305;podkarpackie;le¿ajski;Le¿ajsk;
37-306;podkarpackie;le¿ajski;Grodzisko Dolne;
37-307;podkarpackie;le¿ajski;Le¿ajsk;
37-310;podkarpackie;le¿ajski;Nowa Sarzyna;
37-311;podkarpackie;le¿ajski;Nowa Sarzyna;
37-312;podkarpackie;le¿ajski;Nowa Sarzyna;
37-400;podkarpackie;ni¿añski;Nisko;
37-403;podkarpackie;stalowowolski;Pysznica;
37-405;podkarpackie;ni¿añski;Jarocin;
37-410;podkarpackie;ni¿añski;Ulanów;
37-413;podkarpackie;ni¿añski;Harasiuki;
37-414;podkarpackie;ni¿añski;Harasiuki;
37-415;podkarpackie;stalowowolski;Zaleszany;
37-416;podkarpackie;stalowowolski;Zaleszany;
37-418;podkarpackie;ni¿añski;Krzeszów;
37-420;podkarpackie;ni¿añski;Rudnik nad Sanem;
37-430;podkarpackie;ni¿añski;Je¿owe;
37-433;podkarpackie;stalowowolski;Bojanów;
37-450;podkarpackie;stalowowolski;Stalowa Wola;
37-455;podkarpackie;stalowowolski;Radomyœl nad Sanem;
37-470;podkarpackie;stalowowolski;Zaklików;
37-500;podkarpackie;jaros³awski;Paw³osiów;
37-511;podkarpackie;jaros³awski;Jaros³aw;
37-512;podkarpackie;jaros³awski;Laszki;
37-514;podkarpackie;jaros³awski;Jaros³aw;
37-522;podkarpackie;jaros³awski;Wi¹zownica;
37-523;podkarpackie;jaros³awski;Wi¹zownica;
37-530;podkarpackie;przeworski;Sieniawa;
37-534;podkarpackie;przeworski;Adamówka;
37-535;podkarpackie;przeworski;Adamówka;
37-536;podkarpackie;przeworski;Adamówka;
37-541;podkarpackie;jaros³awski;Jaros³aw;
37-542;podkarpackie;jaros³awski;Laszki;
37-543;podkarpackie;jaros³awski;Laszki;
37-544;podkarpackie;jaros³awski;Wi¹zownica;
37-545;podkarpackie;jaros³awski;Laszki;
37-550;podkarpackie;jaros³awski;Radymno;
37-551;podkarpackie;jaros³awski;Radymno;
37-552;podkarpackie;jaros³awski;Radymno;
37-554;podkarpackie;jaros³awski;Ch³opice;
37-555;podkarpackie;jaros³awski;Radymno;
37-560;podkarpackie;jaros³awski;Pruchnik;
37-561;podkarpackie;jaros³awski;Ch³opice;
37-562;podkarpackie;jaros³awski;Rokietnica;
37-564;podkarpackie;jaros³awski;Pruchnik;
37-565;podkarpackie;jaros³awski;RoŸwienica;
37-600;podkarpackie;lubaczowski;Lubaczów;
37-610;podkarpackie;lubaczowski;Narol;
37-611;podkarpackie;lubaczowski;Cieszanów;
37-612;podkarpackie;lubaczowski;Cieszanów;
37-613;podkarpackie;lubaczowski;Narol;
37-614;podkarpackie;lubaczowski;Narol;
37-620;podkarpackie;lubaczowski;Horyniec-Zdrój;
37-621;podkarpackie;lubaczowski;Lubaczów;
37-622;podkarpackie;lubaczowski;Horyniec-Zdrój;
37-625;podkarpackie;lubaczowski;Lubaczów;
37-626;podkarpackie;lubaczowski;Wielkie Oczy;
37-627;podkarpackie;lubaczowski;Wielkie Oczy;
37-630;podkarpackie;lubaczowski;Oleszyce;
37-631;podkarpackie;lubaczowski;Wielkie Oczy;
37-632;podkarpackie;lubaczowski;Stary Dzików;
37-700;podkarpackie;Przemyœl;Przemyœl;
37-705;podkarpackie;Przemyœl;Przemyœl;
37-710;podkarpackie;przemyski;¯urawica;
37-712;podkarpackie;przemyski;¯urawica;
37-713;podkarpackie;przemyski;¯urawica;
37-714;podkarpackie;przemyski;Or³y;
37-716;podkarpackie;przemyski;Or³y;
37-717;podkarpackie;przemyski;Or³y;
37-722;podkarpackie;przemyski;¯urawica;
37-723;podkarpackie;przemyski;Stubno;
37-724;podkarpackie;przemyski;Stubno;
37-731;podkarpackie;przemyski;Medyka;
37-732;podkarpackie;przemyski;Medyka;
37-733;podkarpackie;Przemyœl;Przemyœl;
37-734;podkarpackie;przemyski;Fredropol;
37-740;podkarpackie;przemyski;Bircza;
37-741;podkarpackie;przemyski;Krasiczyn;
37-742;podkarpackie;przemyski;Fredropol;
37-743;podkarpackie;przemyski;Fredropol;
37-744;podkarpackie;przemyski;Bircza;
37-750;podkarpackie;przemyski;Dubiecko;
37-751;podkarpackie;przemyski;Bircza;
37-752;podkarpackie;przemyski;Dubiecko;
37-753;podkarpackie;przemyski;Dubiecko;
37-754;podkarpackie;przemyski;Krzywcza;
37-755;podkarpackie;przemyski;Krzywcza;
38-100;podkarpackie;strzy¿owski;Strzy¿ów;
38-102;podkarpackie;strzy¿owski;Strzy¿ów;
38-103;podkarpackie;strzy¿owski;Czudec;
38-111;podkarpackie;strzy¿owski;Strzy¿ów;
38-112;podkarpackie;strzy¿owski;Niebylec;
38-114;podkarpackie;strzy¿owski;Niebylec;
38-115;podkarpackie;strzy¿owski;Niebylec;
38-116;podkarpackie;strzy¿owski;Niebylec;
38-120;podkarpackie;strzy¿owski;Czudec;
38-121;podkarpackie;strzy¿owski;Czudec;
38-122;podkarpackie;strzy¿owski;Strzy¿ów;
38-123;podkarpackie;strzy¿owski;Strzy¿ów;
38-124;podkarpackie;strzy¿owski;Wiœniowa;
38-125;podkarpackie;strzy¿owski;Frysztak;
38-126;podkarpackie;strzy¿owski;Wiœniowa;
38-130;podkarpackie;strzy¿owski;Frysztak;
38-131;podkarpackie;strzy¿owski;Frysztak;
38-200;podkarpackie;jasielski;Jas³o;
38-203;podkarpackie;jasielski;Jas³o;
38-204;podkarpackie;jasielski;Tarnowiec;
38-207;podkarpackie;jasielski;Jas³o;
38-211;podkarpackie;jasielski;Jas³o;
38-212;podkarpackie;jasielski;Brzyska;
38-213;podkarpackie;jasielski;Ko³aczyce;
38-214;podkarpackie;jasielski;Ko³aczyce;
38-220;podkarpackie;jasielski;Dêbowiec;
